ag, Agricultural Engineering Sciences Building, A general purpose building for offices and instructor for the Department of Agriculture.
altgeld, Altgeld Hall, Altgeld Hall which was added to the National Register of Historic Buildings in 1970 was constructed in 1896-1897 and was first used as the University Library. In 1927 Altgeld Hall became the home of the College of Law. The Mathematics Department became the residents of Altgeld Hall in 1956. A centennial celebration was held June 16 1997. It is also the home of a DQ that is extremely popular amounts r/UIUC members.
beckman, The Beckman Institute, The Beckman Institute for Advanced Science and Technology is a unit of the University of Illinois Urbana-Champaign dedicated to interdisciplinary research. A gift from scientist businessman and philanthropist Arnold O. Beckman and his wife Mabel led to the building of the Institute which opened in 1989. 
cif,Campus Instructional Facility, The Campus Instructional Facility (CIF) opened in Fall 2021 and offers a massive and flexible learning space with a variety of modern classrooms.
collegeeng, Engineering Hall, Engineering Hall is an administrative building at the University of Illinois at Urbana–Champaign. It is located in the south end of the Bardeen Quadrangle on Green Street in Urbana Illinois facing the Illini Union. Engineering Hall serves all disciplines within the UIUC College of Engineering and is well known for representing the school's colors with its orange bricks and blue roof.
csl, Coordinated Science Laboratory, The Coordinated Science Laboratory (CSL) is a major scientific research laboratory at the University of Illinois Urbana-Champaign. With deep roots in information technology CSL has invented and deployed many landmark innovations such as the electric vacuum gyroscope the first computer-assisted instructional program and the plasma TV. Today research thrusts include: (1)computer vision (2) economics and energy systems (3) information trust (4) neuroengineering (5) parallel computing (6) robotics and more. 
davenport, Davenport Hall, Davenport Hall was created to be the headquarters of the College of Agriculture at the University of Illinois. It was designed in the Renaissance classical style. Its most significant design elements are the two large Ionic columns on either side of the entrance. Its exterior features terra-cotta adornments and two quotations expressing the importance of agricultural education. The quotation from Turner reads “Industrial education prepares the way for a millennium of labor” and the one from Draper states “The wealth of Illinois is in her soil and her strength lies in its intelligent development.”
dcl,Digital Computer Laboratory,The digital computer lab offers a variety of laboratory and lecture space primarily used by the Department of Computer Science.
ece,ECE, The ECE building is a state of the ark building housing a variety of labs and classroom spaces for the Department of Electrical and Computer Engineering.
edu,The Education Building, The Education Building was built in the 1960s and serves as the central hub for the College of Education.
englibrary,The Grainger Engineering Library,The Grainger Engineering Library is the largest library in the United States for the study of engineering. It is one of several departmental libraries that constitute the University of Illinois at Urbana–Champaign University Library.
english,English Building,The English Building previously known as the Woman's Building and Bevier Hall is a historic structure on the campus of the University of Illinois Urbana-Champaign. It is located on the west side of the Main Quad between Lincoln Hall and the Henry Administration Building. 
